"Rep","Cov_sp_near","Cov_sp_med","Cov_sp_far","Cov_sp_all","Width_sp_near","Width_sp_med","Width_sp_far","Width_sp_all","Cov_unw_near","Cov_unw_med","Cov_unw_far","Cov_unw_all","Width_unw_all","Cov_kr_near","Cov_kr_med","Cov_kr_far","Cov_kr_all","Width_kr_all"
34,0.949752883031301,0.944656488549618,0.932773109243697,0.946,0.161142870364768,0.161149016623286,0.161068702074937,0.161138386055146,0.953871499176277,0.939885496183206,0.92436974789916,0.9452,0.151217080277958,0.986820428336079,0.990458015267176,0.987394957983193,0.9884,0.141038439228359
35,0.92504118616145,0.91793893129771,0.936974789915966,0.9232,0.15168243959967,0.151676925861367,0.151624132819069,0.15167457743506,0.890444810543657,0.872137404580153,0.852941176470588,0.8792,0.126648393521799,0.959637561779242,0.967557251908397,0.96218487394958,0.9632,0.113621648227056
36,0.956342668863262,0.934160305343511,0.936974789915966,0.9452,0.18902492492132,0.188922479348502,0.189002902058881,0.18897988316069,0.971993410214168,0.974236641221374,0.974789915966387,0.9732,0.172397549860583,0.956342668863262,0.961832061068702,0.957983193277311,0.9588,0.117951201386885
37,0.948929159802306,0.935114503816794,0.911764705882353,0.9396,0.1937102755133,0.193554740132306,0.193687132742574,0.193642871889814,0.880560131795717,0.862595419847328,0.84453781512605,0.8696,0.130984638793341,0.942339373970346,0.949427480916031,0.953781512605042,0.9464,0.11932237015971
38,0.941515650741351,0.927480916030534,0.928571428571429,0.9344,0.161919387678297,0.162041537151356,0.162443358727011,0.162020474781241,0.913509060955519,0.901717557251908,0.915966386554622,0.9088,0.137521752301465,0.981878088962109,0.986641221374046,0.978991596638655,0.9836,0.136676863865821
39,0.904448105436573,0.875954198473282,0.873949579831933,0.8896,0.15529679459104,0.155482782947285,0.155472266670378,0.155391465851931,0.957166392092257,0.940839694656489,0.928571428571429,0.9476,0.182868372536295,0.918451400329489,0.912213740458015,0.894957983193277,0.9136,0.0955900292233159
40,0.940691927512356,0.924618320610687,0.911764705882353,0.9312,0.147395541362201,0.14764163317221,0.147657901054365,0.14752367969165,0.985172981878089,0.981870229007634,0.96218487394958,0.9816,0.192717005479621,0.971169686985173,0.981870229007634,0.970588235294118,0.9756,0.124622672645554
41,0.969522240527183,0.946564885496183,0.96218487394958,0.9592,0.17302850709323,0.172606201137233,0.173522522381457,0.172898506691915,0.953047775947282,0.937022900763359,0.936974789915966,0.9448,0.162635450274458,0.967874794069193,0.967557251908397,0.96218487394958,0.9672,0.119956588861246
42,0.920922570016474,0.915076335877863,0.899159663865546,0.9164,0.164534236784865,0.164519993155811,0.164438897266328,0.164519189533401,0.938220757825371,0.95324427480916,0.915966386554622,0.9424,0.153424808918669,0.964579901153213,0.971374045801527,0.974789915966387,0.9684,0.120531510015638
43,0.9332784184514,0.907442748091603,0.899159663865546,0.9192,0.15822999583378,0.158350681692922,0.158568564827702,0.158312819114154,0.948929159802306,0.951335877862595,0.941176470588235,0.9492,0.178359374959219,0.983525535420099,0.985687022900763,0.974789915966387,0.9836,0.134993587629888
44,0.962108731466227,0.955152671755725,0.949579831932773,0.958,0.164981352909294,0.164945167340955,0.165302832087635,0.164996788736825,0.912685337726524,0.896946564885496,0.890756302521008,0.904,0.134923835282253,0.967874794069193,0.977099236641221,0.974789915966387,0.9724,0.12875739613909
45,0.949752883031301,0.946564885496183,0.941176470588235,0.9476,0.171510517327741,0.171415198045724,0.170403964023417,0.171365215610148,0.961285008237232,0.968511450381679,0.953781512605042,0.9636,0.167817230234385,0.981054365733114,0.988549618320611,0.987394957983193,0.9848,0.133369808156947
46,0.947281713344316,0.930343511450382,0.945378151260504,0.94,0.167700852995514,0.167887448167636,0.167867660697225,0.167794953784871,0.954695222405272,0.938931297709924,0.932773109243697,0.946,0.158066011446297,0.966227347611203,0.974236641221374,0.978991596638655,0.9708,0.127704091924661
47,0.957166392092257,0.941793893129771,0.920168067226891,0.9472,0.165899242939113,0.165921105592905,0.166081822303077,0.165925789319032,0.947281713344316,0.931297709923664,0.903361344537815,0.9364,0.154664990254762,0.985172981878089,0.99236641221374,0.991596638655462,0.9888,0.141679237244768
48,0.92668863261944,0.889312977099237,0.84453781512605,0.9032,0.139246480094112,0.139343520350309,0.139469124664771,0.139308355132637,0.967874794069193,0.972328244274809,0.957983193277311,0.9688,0.166862915615983,0.973640856672158,0.970419847328244,0.978991596638655,0.9728,0.128245412489906
49,0.969522240527183,0.958969465648855,0.945378151260504,0.9628,0.205477404312637,0.205505597340193,0.205655253419257,0.205506154064739,0.944810543657331,0.938931297709924,0.928571428571429,0.9408,0.146249844187182,0.959637561779242,0.970419847328244,0.953781512605042,0.9636,0.121055646348262
50,0.92833607907743,0.92175572519084,0.894957983193277,0.9224,0.156538124324385,0.156934953556521,0.157487130378367,0.156794820514836,0.949752883031301,0.946564885496183,0.953781512605042,0.9488,0.164465359151438,0.999176276771005,0.999045801526718,1,0.9992,0.213523117028421
51,0.922570016474465,0.932251908396947,0.945378151260504,0.9288,0.178376043393243,0.178496900791067,0.178352506681791,0.17842446611948,0.92174629324547,0.916030534351145,0.911764705882353,0.9184,0.149400152254775,0.981054365733114,0.980916030534351,0.983193277310924,0.9812,0.139411459592247
52,0.973640856672158,0.96469465648855,0.945378151260504,0.9672,0.180220556447332,0.18032305588026,0.180570201854578,0.180296810452385,0.936573311367381,0.936068702290076,0.865546218487395,0.9296,0.143434736468564,0.985996705107084,0.988549618320611,0.978991596638655,0.9864,0.139378261073658
53,0.960461285008237,0.961832061068702,0.932773109243697,0.9584,0.168583669553315,0.168768181195834,0.168936981754069,0.168694652155371,0.912685337726524,0.896946564885496,0.865546218487395,0.9016,0.140523138727327,0.956342668863262,0.958015267175573,0.936974789915966,0.9552,0.114885489676689
54,0.958813838550247,0.946564885496183,0.941176470588235,0.952,0.166715723551586,0.166882195125042,0.166399574016296,0.166755410999419,0.925864909390445,0.91793893129771,0.907563025210084,0.9208,0.146575806266506,0.984349258649094,0.993320610687023,0.987394957983193,0.9884,0.143003728456628
55,0.948105436573311,0.916984732824427,0.899159663865546,0.9304,0.168063056412183,0.168312728590919,0.168999734852052,0.168256890776985,0.945634266886326,0.938931297709924,0.915966386554622,0.94,0.154198012463999,0.954695222405272,0.96087786259542,0.953781512605042,0.9572,0.112971912440247
56,0.940691927512356,0.934160305343511,0.96218487394958,0.94,0.169738054133512,0.169760472904115,0.169771251499773,0.169750612471417,0.941515650741351,0.916984732824427,0.899159663865546,0.9272,0.15739830605606,0.99670510708402,0.995229007633588,0.995798319327731,0.996,0.160209726878988
57,0.950576606260296,0.938931297709924,0.949579831932773,0.9456,0.159319466208641,0.15932890861494,0.159378824228804,0.159329075348881,0.932454695222405,0.927480916030534,0.928571428571429,0.93,0.130308247402397,0.990939044481054,0.994274809160305,0.991596638655462,0.9924,0.142671728962869
58,0.906095551894563,0.900763358778626,0.899159663865546,0.9032,0.128677127781443,0.128472147712955,0.127783154636598,0.128506093893343,0.970345963756178,0.966603053435115,0.941176470588235,0.966,0.170743242598605,0.992586490939044,0.987595419847328,0.987394957983193,0.99,0.140878142127341
